date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:41:40	182/182	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Nov%202020%2000:41:38%20GMT	http://symbiot4.creatingo.com/robots.txt		(from )
07:41:41	31338/31338	---M-Z	200	added ('OK')	text/html	etag:%223a2ae8-7a6a-599d18c39c1b1%22	http://symbiot4.creatingo.com/	C:/Users/ASZ-MAIVI/Desktop/ssssss/symbiot4.creatingo.com/index.html	(from )
07:41:42	156413/156413	---M--	200	added ('OK')	text/css	etag:%223a0168-262fd-599d18881aa25%22	http://symbiot4.creatingo.com/assets/css/iot-theme-bundle.min.css	C:/Users/ASZ-MAIVI/Desktop/ssssss/symbiot4.creatingo.com/assets/css/iot-theme-bundle.min.css	(from http://symbiot4.creatingo.com/)
07:41:42	13338/13338	---M--	200	added ('OK')	image/svg+xml	etag:%223a016a-341a-5a10a0697a273%22	http://symbiot4.creatingo.com/assets/images/icons-sprite.svg	C:/Users/ASZ-MAIVI/Desktop/ssssss/symbiot4.creatingo.com/assets/images/icons-sprite.svg	(from http://symbiot4.creatingo.com/)
07:41:44	20220/20220	---M-Z	200	added ('OK')	text/html	etag:%223a2ae1-4efc-599d18c2dc376%22	http://symbiot4.creatingo.com/profile.html	C:/Users/ASZ-MAIVI/Desktop/ssssss/symbiot4.creatingo.com/profile.html	(from http://symbiot4.creatingo.com/)
07:41:45	2438/2438	---M-Z	200	added ('OK')	text/html	etag:%223a2adf-986-599d18c307ac1%22	http://symbiot4.creatingo.com/login.html	C:/Users/ASZ-MAIVI/Desktop/ssssss/symbiot4.creatingo.com/login.html	(from http://symbiot4.creatingo.com/)
07:41:45	31338/31338	---M-Z	200	added ('OK')	text/html	etag:%223a2ae8-7a6a-599d18c39c1b1%22	http://symbiot4.creatingo.com/index.html	C:/Users/ASZ-MAIVI/Desktop/ssssss/symbiot4.creatingo.com/index-2.html	(from http://symbiot4.creatingo.com/)
07:41:46	41933/41933	---M-Z	200	added ('OK')	text/html	etag:%223a2ae7-a3cd-599d18c357bf8%22	http://symbiot4.creatingo.com/lights.html	C:/Users/ASZ-MAIVI/Desktop/ssssss/symbiot4.creatingo.com/lights.html	(from http://symbiot4.creatingo.com/)
07:41:46	24432/24432	---M-Z	200	added ('OK')	text/html	etag:%223a2ae3-5f70-599d18c42d9c1%22	http://symbiot4.creatingo.com/cameras.html	C:/Users/ASZ-MAIVI/Desktop/ssssss/symbiot4.creatingo.com/cameras.html	(from http://symbiot4.creatingo.com/)
07:41:46	26802/26802	---M-Z	200	added ('OK')	text/html	etag:%223a2ae4-68b2-599d18c471f79%22	http://symbiot4.creatingo.com/appliances.html	C:/Users/ASZ-MAIVI/Desktop/ssssss/symbiot4.creatingo.com/appliances.html	(from http://symbiot4.creatingo.com/)
07:41:47	29738/29738	---M-Z	200	added ('OK')	text/html	etag:%223a38ad-742a-599d18c3eb348%22	http://symbiot4.creatingo.com/climate.html	C:/Users/ASZ-MAIVI/Desktop/ssssss/symbiot4.creatingo.com/climate.html	(from http://symbiot4.creatingo.com/)
07:41:47	1801/1801	---M--	200	added ('OK')	image/svg+xml	etag:%223a016b-709-583d429a75553%22	http://symbiot4.creatingo.com/assets/images/symbiot4.svg	C:/Users/ASZ-MAIVI/Desktop/ssssss/symbiot4.creatingo.com/assets/images/symbiot4.svg	(from http://symbiot4.creatingo.com/)
07:54:23	4660154/4660154	---M--	200	added ('OK')	video/webm	etag:%223a2ab7-471bba-583d42be80dff%22	http://symbiot4.creatingo.com/assets/videos/room.webm	C:/Users/ASZ-MAIVI/Desktop/ssssss/symbiot4.creatingo.com/assets/videos/room.webm	(from http://symbiot4.creatingo.com/)
07:54:29	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%225cca0c33-15851%22	https://code.jquery.com/jquery-3.4.1.min.js	C:/Users/ASZ-MAIVI/Desktop/ssssss/code.jquery.com/jquery-3.4.1.min.js	(from http://symbiot4.creatingo.com/)
07:54:43	80698/80698	---M--	200	added ('OK')	text/javascript	etag:%223a018c-13b3a-599d18a7475fa%22	http://symbiot4.creatingo.com/assets/js/bootstrap.bundle.min.js	C:/Users/ASZ-MAIVI/Desktop/ssssss/symbiot4.creatingo.com/assets/js/bootstrap.bundle.min.js	(from http://symbiot4.creatingo.com/)
07:54:44	1611/1611	---M--	200	added ('OK')	text/javascript	etag:%223a01c5-64b-583d429d12043%22	http://symbiot4.creatingo.com/assets/js/svg4everybody.min.js	C:/Users/ASZ-MAIVI/Desktop/ssssss/symbiot4.creatingo.com/assets/js/svg4everybody.min.js	(from http://symbiot4.creatingo.com/)
07:54:46	7448/7448	---M--	200	added ('OK')	text/javascript	etag:%223a01c0-1d18-583d429ce5d40%22	http://symbiot4.creatingo.com/assets/js/iot-timer.min.js	C:/Users/ASZ-MAIVI/Desktop/ssssss/symbiot4.creatingo.com/assets/js/iot-timer.min.js	(from http://symbiot4.creatingo.com/)
07:54:47	3860/3860	---M--	200	added ('OK')	text/javascript	etag:%223a018f-f14-583d429c2d81c%22	http://symbiot4.creatingo.com/assets/js/iot-functions.min.js	C:/Users/ASZ-MAIVI/Desktop/ssssss/symbiot4.creatingo.com/assets/js/iot-functions.min.js	(from http://symbiot4.creatingo.com/)
07:54:50	8168/8168	---M--	200	added ('OK')	text/javascript	etag:%223a01ab-1fe8-583d429c600ae%22	http://symbiot4.creatingo.com/assets/js/iot-range-slider.min.js	C:/Users/ASZ-MAIVI/Desktop/ssssss/symbiot4.creatingo.com/assets/js/iot-range-slider.min.js	(from http://symbiot4.creatingo.com/lights.html)
07:54:57	40214/40214	---M--	200	added ('OK')	text/javascript	etag:%223a0559-9d16-583d429bc736f%22	http://symbiot4.creatingo.com/assets/js/chartist.min.js	C:/Users/ASZ-MAIVI/Desktop/ssssss/symbiot4.creatingo.com/assets/js/chartist.min.js	(from http://symbiot4.creatingo.com/lights.html)
07:54:58	2932/2932	---M--	200	added ('OK')	text/javascript	etag:%223a0551-b74-583d429b76297%22	http://symbiot4.creatingo.com/assets/js/chartist-legend.min.js	C:/Users/ASZ-MAIVI/Desktop/ssssss/symbiot4.creatingo.com/assets/js/chartist-legend.min.js	(from http://symbiot4.creatingo.com/lights.html)
07:56:24	5606620/5606620	---M--	200	added ('OK')	video/webm	etag:%223a2ade-558cdc-583d42e65f26a%22	http://symbiot4.creatingo.com/assets/videos/street.webm	C:/Users/ASZ-MAIVI/Desktop/ssssss/symbiot4.creatingo.com/assets/videos/street.webm	(from http://symbiot4.creatingo.com/)
07:56:36	5754901/5754901	---M--	200	added ('OK')	video/mp4	etag:%223a2ab6-57d015-583d42afb1785%22	http://symbiot4.creatingo.com/assets/videos/room.mp4	C:/Users/ASZ-MAIVI/Desktop/ssssss/symbiot4.creatingo.com/assets/videos/room.mp4	(from http://symbiot4.creatingo.com/)
07:57:24	6974528/6974528	---M--	200	added ('OK')	video/mp4	etag:%223a2ab8-6a6c40-583d42d49aaf9%22	http://symbiot4.creatingo.com/assets/videos/street.mp4	C:/Users/ASZ-MAIVI/Desktop/ssssss/symbiot4.creatingo.com/assets/videos/street.mp4	(from http://symbiot4.creatingo.com/)
